Institution_Name,Contact_Id,Parent_Institution_Id,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2,Adddress_1,Address_2,Address_3,City,State,Country,Postal_Code
SULOCHANA BEHELEKAR SAMAJIK & BAHUUDDESHIYA SHIKSHAN SANSTHA'S  INSTITUTE OF TECHNOLOGY (POLYTECHNIC),200062,500055,,,,,Bhanashiware Tal-Newasa Dist-Ahmednagar,,,Ahmednagar,Maharashtra,India,
A.J.M.V.P.S. Institute of Hotel Management & Catering Technology College  Ahmednagar.,200063,500056,,,,,Lal Taki Road  Near Law College  Ahmednagar  414001,,,Ahmednagar,Maharashtra,India,
Sant Dnyaneshwar institute of Management and Business Administration ,200064,500057,,,,,Bhanashiware  newasa Phata  Taluka Newasa district Ahmednagar.,,,Ahmednagar,Maharashtra,India,
Global Institute of Management  Velhale Tal. Sangamner Dist. Ahmednagar,200065,500058,,,,,S. No. 132/1  Pune Nashik Highway  Velhale  Sangamner  Dist. Ahmednagar.,,,Ahmednagar,Maharashtra,India,
Kai.Sau.Sunitatai Eknathrao Dhakane College of Management Science  Shevgaon,200066,500059,,,,,At/Po- Rakshi  Tal- Shevgaon  Dist- Ahmednagar  Shevgaon,,,Ahmednagar,Maharashtra,India,
Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development  Ahmednagar,200067,500060,,,,,PO MIDC  Viladghat  Nagar Manadmad  Road  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Sakeshwar Gramin Vikas Seva Sanstha  Sau.Sundarbai Manik Adsul Polytechnic  Chas  Ahmedngar,200068,500061,,,,,"At Post† Chass  Dist. Ahmednagar
Dist-Ahmedngar",,,Ahmednagar,Maharashtra,India,
"Shree Samarth Academ?s  Shree Samarth Polytechnic  Mhasane Village
Village Mhasane   Tal.Parner  Ahmednagar",200069,500062,,,,,Village Mhasane   Mhasane Phata Pune Nagar Road  Tal.Parner  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Shri Dattakrupa Shaikshanik & Krushi Gramvikas Pratisthn's Saikrupa Polytechnic  Ghargaon   Tal Shrigonda  Ahmednagar,200070,500063,,,,,"Plot No. 244  Ghargaon   
Tal Shrigonda  
Dist. Ahmednagar",,,Ahmednagar,Maharashtra,India,
Shri Chhatrapati sambhaji Gramvikas Pratisthan s Shri Chhatrapati sambhaji Polytechnic Yelpane Tal.Shrigonda  Ahmednagar,200071,500064,,,,,Yelpane Tal.Shrigonda  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Savitabai Phule Shikshan Prasarak Mandal's Rajendra Jotiram Phule Polytechnic  Mirajgaon Tal Karjat. Ahmednagar,200072,500065,,,,,Gut No. 115 Belgaon Road At. Post Mirajgaon Tal Karjat. Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Maharashtra Homiopathic Foundation College of Polytechnic Gujalwadi  Tal Sangamner   Ahmednagar,200073,500066,,,,,Chandanpuri Ghat  Gujalwadi  Tal Sangamner  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Shiva Trust's Ajitdada Pawar College of Poltechnic Vadala Mahadeo   Tal Shrirampur  Ahmednagar,200074,500067,,,,,Srv. No. 3  6/2  Vadala Mahadeo  Newasa Shrirampur Main Road  Tal Shrirampur  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Seva Shikshan Prasarak Mandal  Dr. N. J. Paulbudhe Institute of Technology  Narayandoho Tal Nagar  Ahmednagar,200075,500068,,,,,"Gate No. 479 At. Post Narayandoho Tal Nagar
Dist. Ahmednagar",,,Ahmednagar,Maharashtra,India,
Kedareshwar Gramin Vikas Pratishthan  Kai. Sau. Sunitatai Eknathrao Dhakane  Polytehnic College Rakshi  Tal-Shevgaon Ahmedngar,200076,500069,,,,,Gut No. 147/2  At Post-Rakshi  Tal- Shevgaon,,,Ahmednagar,Maharashtra,India,
"Raj Laxmi Foundation  Sahkar Maharshi Rajaram Bapu Patil Polytechnic Institute  Madagaon 
Dist-Adhmednagar",200077,500070,,,,,"Madadgaon 
Gut No.190  Dist-Ahmednagar",,,Ahmednagar,Maharashtra,India,
Adsul's Technical Campus  Chas Dist. Ahmednagar,200078,500071,,,,,At Post Chas  Tal.& Dist. Ahmednagar Ahmednagar   414005,,,Ahmednagar,Maharashtra,India,
Shri. Chhatrapati Shivaji Maharaj College of Engineering  Nepti  Ahmednagar.,200079,500072,,,,,Survey No. 162 & 163  Nepti  Nagar Kalyan Road  Ahmednagar  414005,,,Ahmednagar,Maharashtra,India,
Shree Saibaba Institute of Engineering  Research & Allied Sciences  Rahta.,200080,500073,,,,,At Post Rahta  Taluka Rahata  Dist. Ahmednagar. Ahmednagar   423107,,,Ahmednagar,Maharashtra,India,
Akole Taluka Education Society s Technical Campus  Akole  Ahmednagar.,200081,500074,,,,,Akole  Tal. Akole  Dist. Ahmednagar Ahmednagar   422601,,,Ahmednagar,Maharashtra,India,
Ashok Institute of Engineering & Technology(Polytechnic)  Shrirampur.,200082,500075,,,,,Ashok Nagar  Tal.Shrirampur  Dist. Ahmednagar. Ahmednagar   413717,,,Ahmednagar,Maharashtra,India,
Piren's Insitute of Computer Technology  Loni,200083,500076,,,,,A/P Loni  Bk. Taluka Rahata  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Vidya Niketan College of Engineering  Bota Sangamner,200084,500077,,,,,Gat No. 670  Vidya Nagari  Pune Nashik Road  at post Bota  TalSangamner  Dist. Ahmednagar.,,,Ahmednagar,Maharashtra,India,
Rajiv Gandhi College of Engineering  At Post Karjule Hariya Tal.Parner  Dist.Ahmednagar,200085,500078,,,,,At Post Karjule Harya  Tal. Parner  Dist Ahmednagar,,,Ahmednagar,Maharashtra,India,
Abasaheb Kakade College of B Pharmacy  At.Bodhegaon  Shevgaon  Ahmednagar,200086,500079,,,,,A/p Bodhegaon  Shevgaon  Ahmednagar  Maharashtra- 414502,,,Ahmednagar,Maharashtra,India,
Karmaveer Shankarao Kale Education Society's Gautam Polytechnic Institute Kpoargaon,200087,500080,,,,,Gautam Nagar Post Kolpewadi ,,,Ahmednagar,Maharashtra,India,
Akole Taluka Education Society's Faculty of Polytechnic  Akole,200088,500081,,,,,KOLHAR GHOTI ROAD  At Post  TAL- Akole  Dist Ahmednagar 422601,,,Ahmednagar,Maharashtra,India,
Pratibhatai Pawer College of Pharmacy  Shrirampur,200089,500082,,,,,Survey No. 3 & 6/2 Wadala Mahadeo  Shrirampur-Newasa Road   Tal.Shrirampur  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Pravara Rural Education Society's Institute of PHarmacy  Loni Kd,200090,500083,,,,,A/P Loni Kd Tal Rahata  Dist Ahmednagar.,,,Ahmednagar,Maharashtra,India,
Parikrama Diploma in Pharmaceutical Science  Kashti  Tal Shrigonda,200091,500084,,,,,A/P Kashti  Tal.Shrigonda  Dist. Ahmednagar.,,,Ahmednagar,Maharashtra,India,
N D Kasar College of Pharmacy  Walki  Ahmednagar,200092,500085,,,,,A/P Walki Tal & Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Seva Shikshan Prasarak Mandal's Dr. N.J. Paulbudhe College of Pharmacy (Diploma)  Ahmednagar,200093,500086,,,,,Survey No. 45/1B  Shaneshwar Nagar  Vasant Tekadi  Savedi Ahmednagar.,,,Ahmednagar,Maharashtra,India,
AJMVP's HKCCSM Institute of Management Research & Rural Development  Ahmednagar,200094,500087,,,,,New Arts College Campus  Lal Taki Road  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Dr. N.J. Paulbudhe College of Pharmacy  Ahmednagar,200095,500088,,,,,45/1B  Shaneshwar Nagar  Vasant Tekdi  Savedi  Ahmednagar,,,Ahmednagar,Maharashtra,India,
Jijamata Shikshan Prasarak Mandal's Kamlatai College of Architecture  Ahmednagar,200096,500089,,,,,Ahmednagar,,,Ahmednagar,Maharashtra,India,
Matoshri Miratai Aher College of Pharmacy  Karjule Harya Taluka Parner,200097,500090,,,,,Vittahal Nagar  Kokate Vasti  Karjure Harya  Taluka  Parner  Dist Ahmednagar,,,Ahmednagar,Maharashtra,India,
RAMESH PHIRODIA COLLEGE OF ARCHITECTURE  Ahmednagar,200098,500091,,,,,A/p - Walunj  Nagar-solapur road  Ahmednagar - 414001,,,Ahmednagar,Maharashtra,India,
Shantiniketan College of Pharmacy  Ahmednagar,200099,500092,,,,,Gut No.525  A/P Dhotre (BK)  Dist. Ahmednagar,,,Ahmednagar,Maharashtra,India,
Manav School of Polytechnic  Vyala  Tal.Balapur  Akola,200100,500093,,,,,Gut No.1035  Surat-Nagpur Highway  Vyala  Tal.Balapur  Akola,,,Akola,Maharashtra,India,
Mavav School of Engineering & Technology  Gut No. 1035 Nagpur Surat Highway  NH No. 6 Tal.Vyala  Balapur  Akola   444302,200101,500094,,,,,Gut No.1035  Surat Nagpur Highway Vyala  Tal.Balapur  Akola.,,,Akola,Maharashtra,India,
Manav School of Business Management  Vyala Tal. Balapur Dist. Akola,200102,500095,,,,,Surat Nagpur High Way MH6  Vyala Tal. Balapur  Dist Akola,,,Akola,Maharashtra,India,
Manav School of Architecture  Vyala Tal. Balapur  Dist Akola,200103,500096,,,,,Surat Nagpur High Way MH6  Vyala Tal. Balapur  Dist Akola,,,Akola,Maharashtra,India,
Sakshi Shikshan Krida Prasarak & Bahu Sanstha's  Dr. Rajesh Ramdasji Kambe Polytechnic  Turkhed  Tq: Murtizapur Dist: Akola,200104,500097,,,,,Gat No. 8  S No 13  Turkhed  Tq: Murtizapur Dist: Akola,,,Akola,Maharashtra,India,
Bhonslas Education Trust's Bhonsla Polytechnic  Akola- Washim Highway  Tah. & Dist. Akola.,200105,500098,,,,,Survey No. 65  Mouza- Hingna Barlinga  Akola- Washim Highway  Tah. & Dist. Akola.,,,Akola,Maharashtra,India,
Bhonsla College of Engineering & Reasearch  Akola,200106,500099,,,,,Survey No. 65  Mouza - Hingna Barlingna  Akola-Washim Highway  Tah. & Dist. Akola. (M.S),,,Akola,Maharashtra,India,
Homeopathic Education Society  Institute of Polytechnic  Akola,200107,500100,,,,,Akola Road  Akola-444001,,,Akola,Maharashtra,India,
Saraswati Education Society's Shree Tirupati Tantra Niketan  Akola,200108,500101,,,,,Keshav Nagar ,,,Akola,Maharashtra,India,
Geetadevi Khandelwal Institute of Pharmacy  Akola,200109,500102,,,,,Godbole Ploat  Dabki Road ,,,Akola,Maharashtra,India,
Late Shri Ramraoji Gawande Institute of Pharmacy  Akola,200110,500103,,,,,Shivashakti Pratishthan  Hingana Road kaulkhed  Akola,,,Akola,Maharashtra,India,
Government Polytechnic  Murtizapur  Akola,200111,500104,,,,,NATIONAL HIGHWAY NO.6  AMRAVATI ROAD  MURTIZAPUR,,,Akola,Maharashtra,India,
School of Architecture College of Engineering & Technology  Akola,200112,500105,,,,,Babhulgaon (Jn)  Murtizapur road N.H.6 Akola,,,Akola,Maharashtra,India,
Shri Gurudatta Shikshan Prasarak Sanstha's Institute of Pharmacy  Kaulkhad  Akola,200113,500106,,,,,Shiv Shakti Pratisthan Hingana Road  Kaulkhed Akola,,,Akola,Maharashtra,India,
Shri Shivaji Education Society's College of Engineering and Technology  Akola,200114,500107,,,,,Babhulgaon(Jn)  Murtizapur Road  National Highway No. 6  Akola,,,Akola,Maharashtra,India,
Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology  Amravati,200115,500108,,,,,HVP Mandal's College of Engineering & Technology   Hanuman Vyayam Nagar  H.V.P.M. Campus  Amravati,,,Amravati,Maharashtra,India,
Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology  Darapur,200116,500109,,,,,At Post: Darapur  Taq: Daryapur  Dist: Amravati(M.S.),,,Amravati,Maharashtra,India,
Department of Business Administration & Management  Amravati,200117,500110,,,,,Department of Business Administration & Management  SG Amravati University ,,,Amravati,Maharashtra,India,
University Department of Chemical Technology  Amravati University  Amravati,200118,500111,,,,,University Department of Chemical Technology  Amravati University  Near Tapovan   Amravati,,,Amravati,Maharashtra,India,
Vidarbha Youth Welfare Society's  Prof. Ram Meghe College of Engineering & Management  Badnera,200119,500112,,,,,New Express Highway Anjangaon Bari Road,,,Amravati,Maharashtra,India,
Vidya Bharati College of Pharmacy  Amravati,200120,500113,,,,,C.K.Naidu Marg  Camp  Amravati ,,,Amravati,Maharashtra,India,
Chaitanya Bahu Uddeshiya Sanstha's Institute of Management Studies  Anjangaon,200121,500114,,,,,Anjangaon Bari Road  Badnera  Amravati,,,Amravati,Maharashtra,India,
Maratha Shikshan Sanstha  P.R. Patil College of Engineering & Technology  Amravati,200122,500115,,,,,Gajanan Township Campus  (Post Estate)  Kathore Road  Amravati,,,Amravati,Maharashtra,India,
Vidya Bharati Mahavidyalaya. Department of Research and PG Studies in Science & Management  MBA Programme Amravati.,200123,500116,,,,,C. K. Naidu Road  Camp Area  Amaravti,,,Amravati,Maharashtra,India,
Sipna Shikshan Prasarak Mandals College of Engineering & Technology  Amravati,200124,500117,,,,,Sipna Campus  Infront of Nemani Godown Badnera Road  Amravati,,,Amravati,Maharashtra,India,
V.Y.W.S's Prof. Ram Meghe Institute of Technology & Research  Badnera  Amravati.(Formerly College of Engineering),200125,500118,,,,,Anjangaon Bari Road  Badnera   Amravati,,,Amravati,Maharashtra,India,
P. R. Pote( Patil) Education & Welfare Trust  Group of Institutions  Amravati (Integrated Campus),200126,500119,,,,,Pote Estate  Kathora Road. Amravati,,,Amravati,Maharashtra,India,
Indira Bahuuddeshiya Shikshan Sanstha  College of Engineering  Ghatkheda  Amravati,200127,500120,,,,,Near Acchut Maharaj Heart Hospital  University-Mardi Road Ghatkheda  Dist. Amravati,,,Amravati,Maharashtra,India,
Government College of Engineering  Amravati,200128,500121,,,,,Government College of Engineering  VMV Road  Near Kathora Naka   Amravati,,,Amravati,Maharashtra,India,
Government College of Pharmacy  Amravati,200129,500122,,,,,Government College of Pharmacy  Kathora Naka  VMV Road  Amravati,,,Amravati,Maharashtra,India,
Dhamangaon Education Society's College of Engineering and Technology  Dhamangaon,200130,500123,,,,,Knowledge HUB  Anjansinghi Road  Dhamangaon RlY. Station  Amravati.,,,Amravati,Maharashtra,India,
Chaitanya Bahu Uddeshiya Sanstha  College of Engineering and Management  Anjangaon  Amravati,200131,500124,,,,,Anjangaon  Bari Road  Amravati.,,,Amravati,Maharashtra,India,
Bhaiyasaheb Javade Education Society  Amravati Polytechnic College  Bhankhed,200132,500125,,,,,Survey No. 5  At Post Bhankhed  (b)  Via Chandur,,,Amravati,Maharashtra,India,
P.R. POTE (PATIL) EDUCATION & WELFARE TRUST  P. R. POTE INSTITUTE OF POLYTECHNIC & TECHNOLOGY,200133,500126,,,,,KATHORA ROAD  POTE ESTATE  MU. KATHORA TA. DIST AMRAVATI.,,,Amravati,Maharashtra,India,
Shri Shivaji Education Society's Dr. Punjabrao  Deshmukh Polytechnic (Un-Aided)  Amravati,200134,500127,,,,,Shri Shivaji Nagar ,,,Amravati,Maharashtra,India,
Shree  Swami Samarth Institute of Pharmacy  at parsodi  Dhamangaon Rly  Dist.Amravati,200135,500128,,,,,at parsodi  Dhamangaon Rly  Dist.Amravati,,,Amravati,Maharashtra,India,
CHAITANYA BAHU UDDESHIYA SANSTHA'S  G. H. RAISONI POLYTECHNIC  ANJANGAON,200136,500129,,,,,ANJANGAON BARI ROAD  AMRAVATI,,,Amravati,Maharashtra,India,
Shri. Shivaji Education Society's Dr. Punjabrao Deshmukh Polytechnic(Aided)  Amravati,200137,500130,,,,,Shivaji Nagar,,,Amravati,Maharashtra,India,
Shri. Shivaji Education Society's Dr. Panjabrao Deshmukh Girls Polytechnic  Amravati,200138,500131,,,,,Shivaji Nagar,,,Amravati,Maharashtra,India,
VIDARBHA YOUTH WELFARE SOCIETY'S POLYTECHNIC  BADNERA,200139,500132,,,,,ANJANGAON BARI ROAD ,,,Amravati,Maharashtra,India,
NAGAR PARISHAD TECHNICAL EDUCATION SOCIETY'S NAGAR PARISHAD POLYTECHNIC  ACHALPUR,200140,500133,,,,,NEHRU MAIDAN ,,,Amravati,Maharashtra,India,
Vidyabharati Shaikshanik Mandal's Vidyabharati College of Pharmacy  Amravati.,200141,500134,,,,,C.K.Naidu Rd.  Amravati Camp ,,,Amravati,Maharashtra,India,
Government Polytechnic  Amravati,200142,500135,,,,,Gadge Nagar  Post-Shivaji Nagar,,,Amravati,Maharashtra,India,
Dhamangaon Education Society's L.A.M.I.T. Dhamangaon Rly,200143,500136,,,,,Dhamangaon Railway ,,,Amravati,Maharashtra,India,
